"","taxa","family","genus","lme","rank","survey","source","type.length","level_inferred","b","a"
"74","Aphia minuta","Gobiidae","Aphia",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.52666666110357,0.00122424997728861
"75","Echiichthys vipera","Trachinidae","Echiichthys",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.04999995231628,0.010499999858439
"76","Liparis","Liparidae","Liparis",22,"Genus","NS-IBTS","fb","TL","gen-Ocean",3.07795000076294,0.014600926078856
"77","Hyperoplus lanceolatus","Ammodytidae","Hyperoplus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.69670009613037,0.00659999996423721
"78","Maurolicus muelleri","Sternoptychidae","Maurolicus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.96099996566772,0.00164000003132969
"79","Mustelus","Triakidae","Mustelus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.1599999666214,0.00200000003678724
"80","Gasterosteidae","Gasterosteidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.02450001239777,0.00629999989178032
"81","Lycodes vahlii","Zoarcidae","Lycodes",22,"Species","NS-IBTS","fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"82","Myoxocephalus scorpius","Cottidae","Myoxocephalus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.25700008869171,0.00830000010319054
"83","Trachinus draco","Trachinidae","Trachinus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.13050001859665,0.0063212500026566
"84","Anarhichas","Anarhichadidae","Anarhichas",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.15966669718424,0.00510000018402934
"85","Ammodytes tobianus","Ammodytidae","Ammodytes",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.55999994277954,0.00980000011622906
"86","Gasterosteus aculeatus aculeatus","Gasterosteidae","Gasterosteus",22,"Subspecies","NS-IBTS","fb","TL","gen-FAO",3.04900002479553,0.010499999858439
"87","Lycodes","Zoarcidae","Lycodes",22,"Genus","NS-IBTS","fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"88","Etmopterus spinax","Etmopteridae","Etmopterus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.13499999046326,0.00282333333355685
"89","Salmo trutta trutta","Salmonidae","Salmo",22,"Subspecies","NS-IBTS","fb","TL","gen-FAO",3.13247376680374,0.00727375003043562
"90","Syngnathus","Syngnathidae","Syngnathus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.24999995231628,0.000286920000507962
"91","Stichaeidae","Stichaeidae",NA,22,"Family","NS-IBTS","fb","TL","fam-Ocean",2.73141430105482,0.039298572377967
"92","Myxine glutinosa","Myxinidae","Myxine",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.83570003509521,0.00219999998807907
"93","Anguilla anguilla","Anguillidae","Anguilla",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.05780488688771,0.00254602437869436
"94","Petromyzon marinus","Petromyzontidae","Petromyzon",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3,0.00208000000566244
"95","Conger conger","Congridae","Conger",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.23628572055272,0.000925571441517345
"96","Helicolenus dactylopterus","Sebastidae","Helicolenus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.10075002908707,0.0112000000663102
"97","Leucoraja fullonica","Rajidae","Leucoraja",22,"Species","NS-IBTS","fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"98","Triglidae","Triglidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.0871190457117,0.00851166666307974
"99","Zeugopterus punctatus","Scophthalmidae","Zeugopterus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.14599990844727,0.0138999996706843
"100","Ciliata","Lotidae","Ciliata",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3,0.0063999998383224
"101","Zoarces viviparus","Zoarcidae","Zoarces",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.02499997615814,0.00594999990426004
"102","Syngnathidae","Syngnathidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.02854544466192,0.00167169091252039
"103","Sardina pilchardus","Clupeidae","Sardina",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"104","Lycenchelys sarsii","Zoarcidae","Lycenchelys",22,"Species","NS-IBTS","fb","TL","gen-FAO",2.90100002288818,0.00252000009641051
"105","Taurulus bubalis","Cottidae","Taurulus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3,0.0153999999165535
"106","Anguillidae","Anguillidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.05780488688771,0.00254602437869436
"107","Entelurus aequoreus","Syngnathidae","Entelurus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3,0.00022000000171829
"108","Ammodytes marinus","Ammodytidae","Ammodytes",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.43950009346008,0.00100000004749745
"109","Raja undulata","Rajidae","Raja",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.06799999872843,0.00551333340505759
"110","Anarhichas minor","Anarhichadidae","Anarhichas",22,"Species","NS-IBTS","fb","TL","gen-FAO",3.15966669718424,0.00510000018402934
"111","Molva dypterygia","Lotidae","Molva",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.1489999294281,0.00190999999176711
"112","Pholis gunnellus","Pholidae","Pholis",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.01799988746643,0.00430000014603138
"113","Raniceps raninus","Gadidae","Raniceps",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.26699995994568,0.00620000017806888
"114","Zeus faber","Zeidae","Zeus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.02000001498631,0.016679999950741
"115","Crystallogobius linearis","Gobiidae","Crystallogobius",22,"Species","NS-IBTS","fb","TL","fam-FAO",3.33234616426321,0.00517657690551669
"116","Cyclopteridae","Cyclopteridae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",2.71299997965495,0.330566665778557
"117","Osmerus eperlanus","Osmeridae","Osmerus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.85349988937378,0.00939999986439943
"118","Galeorhinus galeus","Triakidae","Galeorhinus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.97075710977827,0.00801428572906713
"119","Scyliorhinus stellaris","Scyliorhinidae","Scyliorhinus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.16700005531311,0.0020000000949949
"120","Mullus surmuletus","Mullidae","Mullus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.14515376091003,0.0089589583221823
"121","Scomberesox saurus saurus","Scomberesocidae","Scomberesox",22,"Subspecies","NS-IBTS","fb","TL","gen-FAO",3.19300007820129,0.00150000001303852
"122","Gadiculus","Gadidae","Gadiculus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.32133332888285,0.00417666664967934
"123","Gobius","Gobiidae","Gobius",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.08200001716614,0.0110571428335139
"124","Echiodon drummondii","Carapidae","Echiodon",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3,0.000592592579778284
"125","Diplecogaster bimaculata bimaculata","Gobiesocidae","Diplecogaster",22,"Subspecies","NS-IBTS","fb","TL","fam-Ocean",3.08842856543405,0.0121779109550906
"126","Chelidonichthys lucerna","Triglidae","Chelidonichthys",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.99620001316071,0.0101169999223202
"127","Coryphaenoides rupestris","Macrouridae","Coryphaenoides",22,"Species","NS-IBTS","fb","TL","gen-Ocean",2.48669993877411,0.0196850001811981
"128","Gaidropsarus mediterraneus","Lotidae","Gaidropsarus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.10149999459585,0.00536833327108373
"129","Salmo salar","Salmonidae","Salmo",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.99163007736206,0.010717443190515
"130","Soleidae","Soleidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.08244706602658,0.00902630000457387
"131","Leptoclinus maculatus","Stichaeidae","Leptoclinus",22,"Species","NS-IBTS","fb","TL","fam-Ocean",2.73141430105482,0.039298572377967
"132","Capros aper","Caproidae","Capros",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.81924992799759,0.0299174997489899
"133","Leucoraja circularis","Rajidae","Leucoraja",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3.07999992370605,0.00389999989420176
"134","Belone belone","Belonidae","Belone",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.09733327229818,0.00098333335093533
"135","Dicentrarchus labrax","Moronidae","Dicentrarchus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.00228571891785,0.0105842856823334
"136","Pagellus erythrinus","Sparidae","Pagellus",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.94500003542219,0.0153571431125913
"137","Buglossidium","Soleidae","Buglossidium",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.37000000476837,0.00498999992851168
"138","Gymnammodytes semisquamatus","Ammodytidae","Gymnammodytes",22,"Species","NS-IBTS","fb","TL","gen-Ocean",3.30699992179871,0.00120000005699694
"139","Lampetra fluviatilis","Petromyzontidae","Lampetra",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.07050001621246,0.00151299999561161
"140","Spondyliosoma cantharus","Sparidae","Spondyliosoma",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.08690907738426,0.0119009090756828
"141","Scorpaena scrofa","Scorpaenidae","Scorpaena",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.00700008869171,0.0190500002354383
"142","Microchirus","Soleidae","Microchirus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.03829998970032,0.0127750000217929
"143","Zeugopterus","Scophthalmidae","Zeugopterus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.14599990844727,0.0138999996706843
"144","Mugilidae","Mugilidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.03504347801208,0.00982956525505237
"145","Lepadogaster","Gobiesocidae","Lepadogaster",22,"Genus","NS-IBTS","fb","TL","gen-Ocean",3,0.0230653770267963
"146","Syngnathus","Syngnathidae","Nerophis",22,"Genus","NS-IBTS","fb","TL","gen-FAO",2.85800004005432,0.000306999994791113
"147","Caproidae","Caproidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",2.81924992799759,0.0299174997489899
"148","Chelon labrosus","Mugilidae","Chelon",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"149","Galeus melastomus","Pentanchidae","Galeus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.09900002479553,0.00199199996422976
"150","Labrus bergylta","Labridae","Labrus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3,0.0144999995827675
"151","Lophius budegassa","Lophiidae","Lophius",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.91574996709824,0.0365024999482557
"152","Argentinidae","Argentinidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.2046666542689,0.00349999993341044
"153","Dicentrarchus","Moronidae","Dicentrarchus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.05700001120567,0.00948124997375999
"154","Chelon auratus","Mugilidae","Chelon",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.02512499690056,0.0102462500217371
"155","Arnoglossus imperialis","Bothidae","Arnoglossus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.16799998283386,0.00523749989224598
"156","Trachyrincus murrayi","Macrouridae","Trachyrincus",22,"Species","NS-IBTS","fb","TL","gen-FAO",3.23200011253357,0.00129000004380941
"157","Hyperoplus immaculatus","Ammodytidae","Hyperoplus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",2.83550000190735,0.00617884076200426
"158","Blennius","Blenniidae","Blennius",22,"Genus","NS-IBTS","fb","TL","gen-FAO",2.93650007247925,0.0153999999165535
"159","Pegusa lascaris","Soleidae","Pegusa",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.16500008106232,0.00690000015310943
"160","Lesueurigobius","Gobiidae","Lesueurigobius",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.51500010490417,0.00257000001147389
"161","Spinachia spinachia","Gasterosteidae","Spinachia",22,"Species","NS-IBTS","fb","TL","spe-FAO",3,0.00209999992512167
"162","Leucoraja lentiginosa","Rajidae","Leucoraja",22,"Species","NS-IBTS","fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"163","Arnoglossus","Bothidae","Arnoglossus",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.16654545610601,0.00725545450537042
"164","Hyperoplus","Ammodytidae","Hyperoplus",22,"Genus","NS-IBTS","fb","TL","gen-Ocean",2.78923336664836,0.00631922716274858
"165","Lesueurigobius friesii","Gobiidae","Lesueurigobius",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.51500010490417,0.00257000001147389
"166","Merlangius merlangus","Gadidae","Merlangius",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.06236000061035,0.0077439998742193
"167","Sprattus sprattus","Clupeidae","Sprattus",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.11000001430511,0.00523500004783273
"168","Platichthys flesus","Pleuronectidae","Platichthys",24,"Species","NS-IBTS","fb","TL","spe-FAO",2.90055555767483,0.0160574443741805
"169","Clupea harengus","Clupeidae","Clupea",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.05705001025364,0.00702177587061607
"170","Gadus morhua","Gadidae","Gadus",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.08440003395081,0.007181999925524
"171","Pleuronectes platessa","Pleuronectidae","Pleuronectes",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.12099993228912,0.00778000010177493
"172","Pollachius virens","Gadidae","Pollachius",24,"Species","NS-IBTS","fb","TL","spe-Ocean",3.04306878149509,0.00844562509155367
"173","Taurulus bubalis","Cottidae","Taurulus",24,"Species","NS-IBTS","fb","TL","spe-FAO",3,0.0153999999165535
"174","Dicentrarchus labrax","Moronidae","Dicentrarchus",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.00228571891785,0.0105842856823334
"175","Microstomus kitt","Pleuronectidae","Microstomus",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.04499995708466,0.0087500000372529
"176","Agonus cataphractus","Agonidae","Agonus",24,"Species","NS-IBTS","fb","TL","spe-Ocean",2.7404500246048,0.0150000001303852
"177","Raja clavata","Rajidae","Raja",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.22740001678467,0.00259400003124028
"178","Limanda limanda","Pleuronectidae","Limanda",24,"Species","NS-IBTS","fb","TL","spe-FAO",3.10099997520447,0.00776200005784631
"179","Artediellus atlanticus","Cottidae","Artediellus",22,"Species","NS-IBTS","fb","TL","fam-FAO",3.11655002832413,0.0137250000843778
"180","Symphodus melops","Labridae","Symphodus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.1350000500679,0.00903999991714954
"181","Ctenolabrus rupestris","Labridae","Ctenolabrus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3,0.0122999995946884
"182","Salmo","Salmonidae","Salmo",22,"Genus","NS-IBTS","fb","TL","gen-FAO",3.13247376680374,0.00727375003043562
"183","Micrenophrys lilljeborgii","Cottidae","Micrenophrys",22,"Species","NS-IBTS","fb","TL","fam-FAO",3.11655002832413,0.0137250000843778
"184","Zoarcidae","Zoarcidae",NA,22,"Family","NS-IBTS","fb","TL","fam-FAO",3.26167494058609,0.00362999997560109
"185","Somniosus microcephalus","Somniosidae","Somniosus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.23775005340576,0.015087999869138
"186","Leptagonus decagonus","Agonidae","Leptagonus",22,"Species","NS-IBTS","fb","TL","spe-Ocean",3,0.00348715228028595
"187","Thunnus thynnus","Scombridae","Thunnus",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.89400005340576,0.0263999998569489
"188","Petromyzon","Petromyzontidae","Petromyzon",22,"Genus","NS-IBTS","fb","TL","gen-Ocean",3,0.00208000000566244
"189","Atherina presbyter","Atherinidae","Atherina",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.02499997615814,0.00664999987930059
"190","Chelidonichthys lastoviza","Triglidae","Chelidonichthys",22,"Species","NS-IBTS","fb","TL","spe-FAO",2.98116664091746,0.0106533332727849
"191","Sparus aurata","Sparidae","Sparus",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.01379997389657,0.0299771432099598
"192","Mullus barbatus barbatus","Mullidae","Mullus",22,"Subspecies","NS-IBTS","fb","TL","spe-FAO",3.01774996519089,0.00870750010653865
"193","Mugil cephalus","Mugilidae","Mugil",22,"Species","NS-IBTS","fb","TL","spe-FAO",3.11900003751119,0.0112033335802456
"194","Platichthys flesus","Pleuronectidae","Platichthys",23,"Species","NS-IBTS","fb","TL","spe-FAO",2.90055555767483,0.0160574443741805
"195","Clupea harengus","Clupeidae","Clupea",23,"Species","NS-IBTS","fb","TL","spe-FAO",3.05705001025364,0.00702177587061607
"196","Microstomus kitt","Pleuronectidae","Microstomus",23,"Species","NS-IBTS","fb","TL","spe-FAO",3.04499995708466,0.0087500000372529
"197","Gadus morhua","Gadidae","Gadus",23,"Species","NS-IBTS","fb","TL","spe-FAO",3.08440003395081,0.007181999925524
"198","Scophthalmus maximus","Scophthalmidae","Scophthalmus",23,"Species","NS-IBTS","fb","TL","spe-FAO",3.02788893381755,0.016391111123893
"199","Pleuronectes platessa","Pleuronectidae","Pleuronectes",23,"Species","NS-IBTS","fb","TL","spe-FAO",3.12099993228912,0.00778000010177493
